Sr. no.,Tweets,Scores,Category
2460,thank youfor drivingmahejabeen was wonderful wethewomen,0.4,Positive
2461,heres your chance to win free ola auto rides for a month all you have to do is send us your funny versions of bulayakya meme get going people last day today autoboletoholaauto,0.053,Positive
2462,yes you should,0,Neutral
2463,tip did a favour to myself and staed gettingrental when there are multiple places i need to go to cant imagine running errands with all this luggageit kind of turns out cheaper too,0.27,Positive
2464,great tip shanaya ola rentals ftw,0.33,Positive
2465,the pwa is made beautifully making you literally forget the actual app ive been using their pwa for last 3 months without having to install the native app kudos toteam,0.11,Positive
2466,thank you the product team sends their regards,0.6,Positive
2467,"we are proud to join hands withto launch ola kiosks at key metro stations in hyderabad now you can also book your ola cab at these kiosks or through tsavaari the official app of
manahyderabad manametro manaolaread more",0,Neutral
2468,this is a great bulayakya meme congratulationsyouve won free ola auto rides for month please dm us your email id and we will share the offer code with you autoboletoholaauto,0.29,Positive
2469,this is amazing bulayakya meme congratulationsyouve won free ola auto rides for month please dm us your email id and well share the offer code with you autoboletoholaauto,0.29,Positive
2470,you nailed bulayakya meme congratulations youve won free ola auto rides for month please dm us your email id and well share the offer code with you autoboletoholaauto,0.28,Positive
2471,we feel youthis is a great bulayakya meme congratulations youve won free ola auto rides for month please dm us your email id and well share the offer code with you autoboletoholaauto,0.3,Positive
2472,true storycongratulations youve won free ola auto rides for month please dm us your email id and well share the offer code with you autoboletoholaauto,0.25,Positive
2473,"in kalyan no auto goes by meter we all were so frustrated since last 20 years thanks to ola auto instead of 100 rs now i pay only 3540 rs
i dont hesitate to give tip appreciate ola auto",0,Neutral
2474,hiplease dm us your email id,0,Neutral
2475,hiplease dm us your email id,0,Neutral
2476,hiplease dm us your email id,0,Neutral
2477,the sea is calling staytuned,0,Neutral
2478,ola joins hands with lampt metro rail hyderabad ltd ltmrhl as a mobility paner for first amp last mile connectivity hyderabadmetro hyderabadmetrorail travel ola olamobility transformhyderabad,-0.045,Negative
2479,proud to associate with bengaluru midnight marathonrunwithola runtobenefit and tagour transpo paner to win race coupon,0.17,Positive
2480,"excited to announce chalo befikar a comprehensive insurance program codeveloped withdriver paners ampas key stakeholders in india’s mobility revolution a big step to bring them at par with the best of social security schemes
",0.17,Positive
2481,took ola ride today in pune and 70 year old bhimrao patil ji was our guide and he was new to ola world not know much about the aap and navigations what he said to us wasreally feel good that they are earning well from ola,0.12,Positive
2482,touched and humbled thanks for sharing heroesofola,0.4,Positive
2483,maybe well sea,0.33,Positive
2484,its aboat time dont you agree,0.25,Positive
2485,do you have any other suggestions,0,Neutral
2486,are you ready to be hit by the pay wave introducing olasundowner the sunburnpregame,0.14,Positive
2487,5000 retweets and the pass is yours olasundowner,-0.33,Negative
2488,weknowthereare280charactersbutweareinthemoodtosavesomespacetoday staytuned spaceissueskeepitlite,0,Neutral
2489,help this man out olainvitevicky,0.33,Positive
2490,it could maybe you could sta a petition too olainviteme,0,Neutral
2491,yachtondemand i could get used to it olayacht,0.25,Positive
2492,how many you gotolainviteme olasundowner,0,Neutral
2493,wayacht you talkin about olasundowner,0,Neutral
2494,new year is too far away we are staing early olasundowner,0,Neutral
2495,get staed hereolasundowner,0,Neutral
2496,you can express an interest and we will get it toucholasundowner,0.33,Positive
2497,you can try your luck hereolasundowner,0.25,Positive
2498,"we are hosting olasundowner a yacht pay in the runup to theto get yourself an invite express your interest hereand well get in touch 
be there or be square",0.13,Positive
2499,embracing mass electric mobilitynagpur leading the way in panership with aggregators and manufacturers a first hand experience of the mobility paradigm shift g days aheadevs,0.059,Positive
2500,a big panda hug to the newest member of our family sayolatofoodpanda,0.14,Positive
2501,very excited to announce our panership withas we welcome the team ofonboardwe aim to create indias best online food service experience with foodpanda‘s wonderful team12,0.22,Positive
2502,panda is delighted to be a pa of thefamily sayolatofoodpanda,0.25,Positive
2503,hi veera we customize your enteainment experience in primeplay rides based on the city in which the ride is taken for example in chennai all prime play cabs have tamil radio stations as well as tamil music playlist however it may not be available in other cities 12,0.12,Positive
2504,"if you had taken a prime play ride in chennai which didnt have tamil radio stations wed love to look into the same and get it soed out at the earliest
wed really appreciate if you could dm your crn or registered phone number to help us identify and rectify the issue",0.16,Positive
2505,invites to the yacht pay are out follow olacabs on instagram for all pay updatesolasundowner,0,Neutral
2506,we train our paners to be well behaved and professional if you have a bad experience leave a constructive feedback via the app but no racial slurs please that’s pretty uncool,0.12,Positive
2507,"see myself preferplay cabs to hear music and numb pain of traffic 

would be fun to see great web series also so i would remain super sticky customer to binge watch it",0,Neutral
2508,it was awesome having you on board olasundowner,0.33,Positive
2509,oh hey this is how we do olasundowner on a yacht because im winning this pay seasonolasundowner epic tunes dj,0.12,Positive
2510,"what happens when you mix friends alcohol and a valet who can’t drive
to find out watch till the end",0.091,Positive
2511,introducing the ola lite app uses less space on your phone loads fast works even in low connectivity keepitlite,0.27,Positive
2512,this is the stuff that makes us love what we do thank you,0.5,Positive
2513,taking the initiative fuheri would like to thankfor their fast and quick services in my cityi remember it was heavy rainfall in kanpur and i was stucked helped me to reach my homeyou made me smile thereafterthank you for providing the best services,0.22,Positive
2514,ola sunburn is here get ready to groove to the tunes of top djs in the planet featuring main garrix afrojack dj snake kshmr and many more watch for this space to win tickets to the sunburn festival olasunburn,0.17,Positive
2515,watch nucleya and siana catherine drop the bass at the olasundowner the sunburn pregame kicksta the countdown to 2018 with updates on tickets contest and everything for an epic new year celebration staytuned olasunburn,0.048,Positive
2516,heres to a season of joy and celebration wishing you all a very happy christmas merrychristmas,0.5,Positive
2517,"the best way forward is to rewind so lets welcome 2018 with the desi rewind of 2017 
as always the first resolution for the new year is peekematchala",0.21,Positive
2518,"what’s the last type of valet you can think of after a night out 
watch till the end to find out peekematchala",0,Neutral
2519,behind the scenes a day in the life of antaxi driver in delhivia,0,Neutral
2520,proud to paner with mission sma ride an initiative by govt of telangana where 524 pubs amp bars in hyderabad will now be able to book an ola for customers amp staff alike via the sma waiter app through olas api integration hyderabad says peekematchala,0.097,Positive
2521,"most of us have been there so whats your funniest drunk line
peekematchala",-0.2,Negative
2522,don’t find yourself in a messy situation drive home without drinking it’s better for the nation olasunburnfestival peekematchala,0,Neutral
2523,"didyouknow ola share has saved 16m litres of fuel this year that is 4 times more than last year share because farakpadtahai 
check out more trivia on howindiacommutes  ",0.13,Positive
2524,"gurugram we have panered withandto enable a safe ride back home for you on new years eve 
now you can also book your ride from dedicated ola kiosks at key locations in cyber hub mg road amp sector 29
remember peekematchala always book an ola",0.065,Positive
2525,"didyouknow in 2017 ola play enteained users for 5840000 hours that is 666 years
check out the most played songs on olaplay and more such interesting trivia on howindiacommutes",0.21,Positive
2526,"please dont mix drink and drive
gurugram police wishes you a very happy new year 2018
 
 
 
",0.18,Positive
2527,"didyouknow in 2017 the total distance covered by ola outstation is equal to covering indias road length 53 times ghoomoresponsibly
to know the popular outstation destinations of the year and other trivia on howindiacommutes check out",0.095,Positive
2528,kudos toandcontinue to serve your customers well be responsive and responsible and delight them be rest assured youll prosper,0.67,Positive
2529,"
my first experience with this wonderful amp strong lady driver 
keep up the good work
womenempowerment equality",0.33,Positive
2530,we have paneredwithfor a range of integrated offerings to enhance the mobility experience for you to learn more,0.25,Positive
2531,heroesofola,0,Neutral
2532,heroesofola,0,Neutral
2533,"iwasnotreadyda too late were already here 
heres s guide to getting in shape in 7 days ft ola auto autonaolaauto",0,Neutral
2534,"baby on board heres mr shahzaad khan our driver paner from nagpur who ensured timely medical care for one of our customers as she went into labor in his cab heroesofola
read the full story here",0.048,Positive
2535,"make a business plan for s online mobility challenge and stand a chance to win prizes woh inr 150000 register at 
deadline 16th january 2018 
summit2018",0.062,Positive
2536,"we are panering with the west bengal government in job creation for the youth in the state we will be providing 5000 new cabs within the first year as a pa of the mou bengalmeansbusiness 

to read more",0.22,Positive
2537,"love solving puzzles presenting gamethursdays
reply with the correct answer and lucky winners would win ola vouchers",0.31,Positive
2538,beautiful isn’t it glad you enjoyed your ride letsplay,0.5,Positive
2539,"here’s your mondaymotivation from us
take ola rides using code breathe and get a chance to meetampfromoriginal breathe’
not just this 25 amazon fire tv sticks up for grabs breatheonamazon",0.12,Positive
2540,tag that friend who is too cool to follow rules changethecode,0.33,Positive
2541,the nonstop cacophony of blaring horns on the streets tag that friend who honks without any rhyme or reason changethecode,0.17,Positive
2542,"this republicday lets take a pledge to change our ways and form our own road codes amp make our roads a place wed all like to ride on
olaroadcodes",0.059,Positive
2543,"thank youfor your services at agra 
a family member was hospitalized and your services have proved to be a boon in terms of ferrying carers to and from the hospital 
keep up the good work",0.35,Positive
2544,4g stopped working i couldn’t book the ride in bangalore today with ola and uber todayoffline was life saver 1010 marks this is how you evolve as better product,0.25,Positive
2545,a momentous day for us atas we go international with australia we’ve begun onboarding driverpaners across sydney melbourne peh amp look forward to working together with local communities in building mobility for every australian,0.12,Positive
2546,"mumbai pune in this season of love weve panered withto take you to paris 
ride ola and get the chance to win an all expenses paid trip to the city of love 
to know more",0.15,Positive
2547,"catch all the winning hits from grammys 2018 now on your ola primeplay rides
nowplaying grammyswithprimeplay",0.1,Positive
2548,"gamethursdays is back 
reply with the correct answer and lucky winners would win ola vouchers",0.4,Positive
2549,15 transpo and tech companies sign the shared mobility principles for livablecities,0.12,Positive
2550,"happy to sign a mou with the government of assam atto pilot water taxis in guwahati 

to read more",0.091,Positive
2551,ever loved a song that never got the recognition it truly deserved share your favourite hits from 2017 that should’ve won a grammy and lucky winners would win ola prime play vouchers grammyswithprimeplay,0.32,Positive
2552,"after a tiring day at work you book a cabyou board the cab and the driver just knows how to make you smile by putting onplaylist wo even me telling him and that too humnasheen sometimes these little things make the difference
olacab shreyaghoshalfanforever",0.12,Positive
2553,"we had a lot of fun at olasunburn 2017
for those who couldn’t make it here’s a quick recap and as always peekematchala",0.11,Positive
2554,"bengaluru we suppo lesstrafficday an initiative by the government of karnataka to curb pollution amp congestion in the city 
this sunday doyourshare by leaving your cars at home and taking the public transpo instead",-0.1,Negative
2555,"now book an ola right from your

were panering withto bring you a seamless lightweight experience integrated into hike 

",0.25,Positive
2556,"this valentinesday celebrate being single take an ola prime play and enjoy the musical ride with a medley of songs playedwithlove especially for you
happilysingle",0.2,Positive
2557,pyaar ek dhoka ho sakta hai par ola prime play par enteainment nahi mumbaikars head topyaarekdhokahaitomorrow and use code pyaardhoka to get flat rs50 off on your two primeplay rides,0.091,Positive
2558,this valentinesday if youre swipingright then you’d love this take an ola prime play and enjoy the musical ride with a medley of songs playedwithlove especially for you,0.2,Positive
2559,this valentinesday if youre friendzoned this one is for you take an ola prime play and enjoy the musical ride with a medley of songs playedwithlove especially for you,0.13,Positive
2560,this valentinesday if youre taken and committed for life take an ola prime play with your paner and enjoy the musical ride with a medley of songs playedwithlove especially for you,0.18,Positive
2561,ola has emerged as the no 1 brand amongst all online services in the country by thebrand equity most trusted brands 2017 annual survey,0,Neutral
2562,"ola auto driver paners at the launch of auto unnatia comprehensive benefit programme for our auto driver paners in bengaluru
read more",0.13,Positive
2563,really,0,Neutral
2564,"take an ola back home and ensure that youre all settled in to cheerin their match againsttonight goache 
match kicks off at 8pm
podumachigoalu letsfootball",0,Neutral
2565,"great choice rujuta youve been selected as one of the winners of grammyswithprimeplay 
please check your dm for your prize",0.45,Positive
2566,"great choice sushma youve been selected as one of the winners of grammyswithprimeplay 
please check your inbox for your prize",0.42,Positive
2567,"congrats vishal youve been selected as one of the winners of grammyswithprimeplay 
please check your inbox for your prize",0.36,Positive
2568,"are you a crazyfan would you love to catch them live in action in their home turf 
we have something coming up just for youamp spread the word staytuned
letsfootball podumachigoalu olasoccermania",0.24,Positive
2569,"define your love forin 3 words 
the most innovative and crazy answers will get a chance to watch the team up close and live in the coming matches letsfootball podumachigoalu olasoccermania",0.21,Positive
2570,"congrats monsieur youve been selected as one of the winners for witnessing your favourite team playing in their home turf 
please check your dm for fuher details",0.25,Positive
2571,and you have to follow us for the dm,0,Neutral
2572,congrats sanjai youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2573,follow us for the dm,0,Neutral
2574,congrats shiva youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2575,congrats aravind youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2576,congrats rajeev youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2577,congrats raphael youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2578,congrats siddhath youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2579,congrats sudharsan youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2580,congrats riswanth youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2581,congrats jagan youve been selected as one of the winners for witnessing your favourite team playing in their home turf please check your dm for fuher details,0.25,Positive
2582,"dear ratan as per the rbi master directions 2017 kyc verification is required for continued usage of your ola money wallet 
for more details head to",0.12,Positive
2583,"were happy to have been pa of tankeshs journey 
after all sabqtiyapahai",0.25,Positive
2584,"how you wish if you could timelapse your way through the bustling traffic 
well we have the next best thing take an ola primeplay indulge in enteainment on the go and forget the traffic woes
olaplay timelapse nightisyoung",0,Neutral
2585,"his name is mallappa
he drives an ola cab for living in bengaluru
see how fluently he talks in samskritam 

probably indias first sanskrit speakingdriver",0.062,Positive
2586,thanks for bringing this to our attention srishti were proud to paner with mrjingyanshu well ensure that hes recognized and rewarded for his actions heroesofola,0.36,Positive
2587,"ola aizawl lets sta our ride together 
were happy to join hands with the government of mizoram to offer mobility solutions in the city of aizawl enabling reliable affordable and convenient commute 
to know more
",0.23,Positive
2588,"we are happy to paner with delhi division ofto improve your ola booking experience from new delhi anand vihar old delhi sarai rohilla and hazrat nizamuddin railway stations
know more",0.045,Positive
2589,just had an amazing experience insidedelhi the cars audio system greeted me and auto connected to the wifi including connecting to the audio system to play the music of my choice from my phone this is absolutely amazing great workyoure now my favourite,0.2,Positive
2590,welcome to the prime life,0.33,Positive
2591,"heres wishing you all a very happy colourful and joyous holi
this holi leave your car at home and enjoy the specially curated rangbarse playlist on olaprimeplay 
happyholi",0.29,Positive
2592,ola auto bulayakya,0,Neutral
2593,"thanks a lot 
were very excited to know thatyou loved the ola auto experience",0.33,Positive
2594,"my ola driver wasnt clear enough over repeated calls id made up my mind to rate him low after my ride but this small note inside the car melted me

such a nice gesture to ensure customer satisfaction won my hea dearhe deserves something special",0.18,Positive
2595,"not just on womens day but everyday 
were here to take you where you need to go
featuring",0.14,Positive
2596,"congratshope you have a magical time in the city of love 
olatopariscontest mumbai",0.43,Positive
2597,when the day stas like this cheers to,0.5,Positive
2598,wish you a wonderful day deepika,0.25,Positive
2599,,,
2600,thanks a lot for making our dream come true as we just won a paid trip to paris for 2this is an out of the world feeling specially for my loving wife vasundhara who is the lucky winner of this contest loveisinparisthecityofloveiscalling,0.33,Positive
2601,"turn on the music and turn it up loud take a break from the weekly humdrum and listen to olaprimeplay on your way back home 
playwitholaplay",-0.14,Negative
2602,here’s some mondaymotivation thank you,0.5,Positive
2603,that really sounds wonderful please share your crn to help us pass on your feedback to our driver paner,0.27,Positive
2604,make way for the auto… autoboletoholaauto,0,Neutral
2605,"peeroomconversations gurugramchapter panelists on howpeesafe andoffering a safe travel experience for all

now be doubly safe while moving out of your house with peesafe and olatoiletseatsanitizer toiletseatsanitizerspray sanitation caredelhitravelihave",0.11,Positive
2606,"we know your busy schedules and we would love to help you maintain your productivity even on the go
olaprime with free wifi now lets you continue your work during your ride
workfromola",0.41,Positive
2607,"all props to our engineers on this one 
and many thanks for the shoutout nikunj wed love to keep you enteained both on and off your rides",0.17,Positive
2608,thanks for the feedback roy we will share it with the relevant team,0.29,Positive
2609,mr pranav mehta dir opsalongwith olasainiks presented a cheque to secretaryfor rs803293 for the armedforcesflagdayfund this contribution is a collective effo of the employees and driver paners towards affdf,0.059,Positive
2610,it gives us immense pleasure to join hands with our employees and driver paners together as one ola family in collecting and presenting a small contribution towards the armed forces flag day fund affdf olasainiks,0.083,Positive
2611,"the night is young hop in an ola and enjoy the night lights of your city 
also dont forget to share your photos of your citys beauty at night using mycityatnightwithola",0.11,Positive
2612,"we wish you all success joy and love as you sta this new journey
wish you a very happy ugadi amp gudi padwa

ugadi gudipadwa",0.27,Positive
2613,a big congratulations toon their latest victory and winning the heroisl title once again,0.38,Positive
2614,when we said we wanted to shoot for moon we didnt literally mean ithowever while we fix this issue you can always take a flight to another country,-0.12,Negative
2615,"weve panered with secunderabad hyderabad and kacheguda railway divisions ofto simplify the mobility experience for railway passengers 
now its more convenient for you to book and locate your cab through ola kiosks and ola zones",0.045,Positive
2616,we are delighted to be featured inindias top companies list for the third consecutive year,0.22,Positive
2617,"mumbai the strike is being called off with immediate effect with every passing hour more and more of our cabs are getting back on the road to service the mobility needs of all mumbaiites
thank you for your continued trust and understanding",0.2,Positive
2618,thanks for the shoutout saif,0.33,Positive
2619,"want to win s carvaan 
we have a contest just for you olaplaywithcarvaan
staytuned",0.29,Positive
2620,"the olaplaywithcarvaan contest will consist of 3 pas 
paicipate in all 3 and the lucky winner will take home a s carvaan
pa 1 coming up sholy",0.43,Positive
2621,"heres the first pa of the olaplaywithcarvaan 
stop the video at the right moment and share the screenshot as a reply using the hashtag olaplaywithcarvaan and your city name",0.2,Positive
2622,"the second pa of the contest create your playlist of 5 retro songs from carvaan that you want to dedicate to your loved ones using olaplaywithcarvaan
heres the song list for you to choose from 
ps feel free to tag your loved ones to your tweet",0.22,Positive
2623,"heres the last pa of the contest 

music nostalgia and travel the best mix for a friday evening fridayfeeling 
suggest us a song that fits the above criteria using olaplaywithcarvaan",0.18,Positive
2624,"and the winner of olaplaywithcarvaan who would be flaunting their new s carvaan is drum roll 

",0,Neutral
2625,"on prime play theres something enteaining for everyone now young ones can enjoy their favourite nursery rhymes with our latest addition
nowplaying olaprimeplay",0.11,Positive
2626,"it’s time to make a difference this eahhour choose ride sharing with ola share amp join the giveup movement here
every action matters farakpadtahai",0.059,Positive
2627,food filled sunday morning with breakfastcrawlwitholarentals,0,Neutral
2628,we’ve got news stay tuned,0,Neutral
2629,your panda booked a cab on ola spotthepanda,0,Neutral
2630,stay tuned,0,Neutral
2631,instant hyperlocal news brought to you by our millionstrong driver paners present in over 110 cities across india find out more herenewsyoucanuse,0.077,Positive
2632,"find out the update on 10hour long power cut in niladri vihar for more such hyperlocal news updates visit
newsyoucanuse",0,Neutral
2633,new revolutionary journalism ale frompowered by its one million driversturned hyper local repoers,0.091,Positive
2634,"what is causing traffic snarls this monday morning head here for more such hyperlocal news 
newsyoucanuse",-0.11,Negative
2635,we sure know you are,0,Neutral
2636,heylooks like our latest range of ladders aren’t the only thing making news today kudos on newsyoucanuse,0.17,Positive
2637,"find out where our superstar bhai is faisal khan repoing from mumbai for more such hyperlocal news head to
newsyoucanuse",0,Neutral
2638,whoanow heres a cool way to transpo yourself cant wait to get our feet on the urban ladderlivethehighlife,0.091,Positive
2639,what all areas topics and issues you’d want onn to cover share your replies and our driver paners will be ‘onn’ it newsyoucanuse,0,Neutral
2640,at ola news network we believe in delivering hyper local news from every nook and corner of the country tell us the topics you want to hear about and we will cover them all newsyoucanuse,0.11,Positive
2641,with an iconic film like this the wait is too painful our sources repo april 27th 2018 newsyoucanuse,0,Neutral
2642,"good newswe had quite a fun ride 
bad newshappyaprilfoolsday",0.14,Positive
2643,"what better way than great music to sta your day 
 
tuesdaythoughts",0.29,Positive
2644,"we have a new member joining the ola family 
were happy to welcomeonboard 
the acquisition complements ola’s consistent and continuous effos to integrate its mobility platform with existing public transpoation solutions 
read more",0.24,Positive
2645,"win a chance to meet varun dhawan or win tickets tothe movie 
simply take maximum ola prime rides with code october from 4th april to 8th april 2018 
for more details",0.1,Positive
2646,wellgood question,-0.5,Negative
2647,very excited to share the news of ridlrjoiningridlr’s experience in mass transit with ola’s mobility services will enable seamless multi modal mobility solutions for our cities look forward to working withand team,0.17,Positive
2648,"introducing firstofitskind intrip insurance only for you 
now insure your rides for upto 5 lakhs against missed flights baggage loss emergency hotel requirements and much more at just 1 
ab chalobefikar
details",-0.1,Negative
2649,thanks for the shout out dayle were happy that you had a great experience,0.5,Positive
2650,"launching mission electric 
the initiative targets 1 million electric vehicles on indian roads by 2021 building on our pioneering ev pilot in nagpur were expanding our commitment to electrify mobility in india olamissionelectric
to know more",0.095,Positive
2651,not all superheroes wear a cape presenting heroesofolatrue stories based on extraordinary acts of courage amp humanity displayed by our driver paners beyond their call of duty watch episode1 featuring the inspiring story of our driver paner mrgopal yadav from delhi,0.14,Positive
2652,"one small step for her a large one for the community meet meghna sahoo our first transgender driver paner 
know more",0,Neutral
2653,welcome aboard vamsi,0.33,Positive
2654,hi could you please elaborate a bit more on the issue we request you to share us the screenshot of the offer communication email or sms along with your registered email id or phone no over dm and we’ll look into this immediately,0,Neutral
2655,"this worldheritageday lets pledge to honour our national heritages whenever we travel 
ghoomoresponsibly",0,Neutral
2656,sky is the limit congratulationstime100 list,-0.25,Negative
2657,"our founderhas written an ode forfounder and ceo bhavish aggarwal in the time100 feature give it a read

congratulationswell deserved",0.15,Positive
2658,"its getting hot in here 
got anything to help us cool off summerishere",0.43,Positive
2659,sounds cool lets get staed shall we ridesthatcoolyoudown,0.29,Positive
2660,"share a cab share the road 
this eahday let’s make way for the planet 
olashare farakpadtahai",0,Neutral
2661,ola like our country is a secular platform and we dont discriminate our driver paners or customers basis their caste religion gender or creed we urge all our customers and driver paners to treat each other with respect at all times,0.091,Positive
2662,"fill your cab rides with fun and laughter enjoy unique funny amp witty videos from 
now available on all your olaprimeplay rides
nowplaying",0.19,Positive
2663,"we are proud to announce the setting up of safety council a first for ridesharing industry globally
the council consists of expes in public safety who will work towards strengthening the safety of mobility ecosystem in india roadsafetyweek 
know more",0.21,Positive
2664,"thank you for all the love and suppo 
200kandcounting",0.5,Positive
2665,ola cabs commit to provide medical checks and free eye aids to one million drivers in next three yearsroadsafetyweek,0.2,Positive
2666,"this nationalroadsafetyweek we have a contest coming up where you can learn about road safety and also win ola vouchers
reply to each question with the correct answer using olaroadsafetyquiz and you could be a lucky winner 
 amp spread the word",0.23,Positive
2667,,,
2668,"heres question no1 olaroadsafetyquizthe 5 golden rules of road safety are
a wear a helmet
b wear a seatbelt
c no texting while driving
d avoid overspeeding
e 

what is the 5th rule",0,Neutral
2669,thats the correct answerand youre the lucky winner please check your dm,0.5,Positive
2670,"heres olaroadsafetyquiz question no 2
what does this sign indicate",-0.2,Negative
2671,that is rightplease check your dm,0,Neutral
2672,olaroadsafetyquiz question no 3 in india what is the maximum permissible blood alcohol content that you may have to be allowed to drive,0,Neutral
2673,that is right sunilplease check your dm,0.33,Positive
2674,olaroadsafetyquiz question no 4 fill in the blanks this year were celebrating thenational road safety week,0,Neutral
2675,thats right please check your dm,0.5,Positive
2676,olaroadsafetyquiz question no5 what is the most impoant cause of roadrelated fatalities in india,-0.29,Negative
2677,"olaroadsafetyquiz question no6 
what is the tollfree national highways emergency number",-0.29,Negative
2678,"heres the last question of the olaroadsafetyquiz the ola safety council consists of dr gv ramana rao dr parvinder singh pasricha amar srivastava dr op agarwal and
who is the 5th person on the council",0.056,Positive
2679,thats correct sai please check your dm,0.4,Positive
2680,delhi police xi registers a thrilling victory against media xi at olat20cricketchampionship special initiative to mark nationalroadsafetyweek,0.18,Positive
2681,hard work takes you places here’s to our everdependable team of driver paners happylabourday,0,Neutral
2682,thanks for the shoutout archana well pass on your compliments to our driver paner as well,0.33,Positive
2683,is the most advanced cab system in the world imo tried thecabs in useuropeindonesiachina nothing beat them feels like the1st indian staup to be copiedwifi in cabs autoapple music movies what experience fullrespect,0.091,Positive
2684,"theres an ola for everyone may the otp be with you 
happy starwarsday maythe4thbewithyou",0.12,Positive
2685,everytime i sit in ani think ofgot to love ola for making life easy in mumbai,0.18,Positive
2686,"ah gurgaon the milleniumcity
where the roads are wide and oh so pretty
we had an idea that gave us a kick
what if we teamed up with mobikwik",0.1,Positive
2687,"hey mobikwik
we seamlessly click
going hand in hand
across our homeland
booking an ola on mobikwik is a picnic",0.083,Positive
2688,"folks we’re happy to launch myridemycause an initiative to crowdsource suppo for social causes 
optin to donate 1 on every ola ride amp power ’ effos to strengthen cancer care in india 
to know more",0.043,Positive
2689,we apologise for the hassle we have escalated your concern to the relevant team and will ensure necessary action is taken against the driver paner as per ola policy and procedure we wish to provide you with a better ola experience on your future rides,0.042,Positive
2690,"when mom decides to visit you there is no stopping her 
watch and learn
come celebrate momsonthemove with ola this mothersday",0.18,Positive
2691,"thanks ranjith
dont forget to let your mom know how cool she is as well",0.22,Positive
2692,thanks jaidka momsonthemove,0.33,Positive
2693,"were sure that your mom would love a surprise as well 
call her and let her know how cool she is 
momsonthemove",0.3,Positive
2694,thanks for the shoutout aparna,0.33,Positive
2695,"mom knows you’re busy doing well scrolling through memes
but she won’t disturb you
watch how this mom is helping you clear up your time 
come celebrate momsonthemove with ola this mothersday",0.26,Positive
2696,"mothersday contest coming up ola vouchers up for grabs 
 and spread the word
momsonthemove",0.11,Positive
2697,"join our celebration of momsonthemove and stand to win ola vouchers 
is your mom the coolest of them all tell us how by submitting the finished caption in the comments 
dont forget to like andthis post too
contest",0.15,Positive
2698,absolutely loving s classic rock playlist inperfect soundtrack to my ride home,0.22,Positive
2699,hyderabad this ones for you,0,Neutral
2700,please follow us for the dm,0.5,Positive
2701,please follow us for the dm,0.5,Positive
2702,"hi mohit please dm us your phone number 
well get in touch with you sholy",0.25,Positive
2703,please call mramit 99933 38529 who is at the location and will be able to help you with your cab request,0.33,Positive
2704,olaplay the perfect incar experience for you,0.25,Positive
2705,"when we said we shall take you places we really meant it 
after peh sydney and melbournenow in brisbane gold coast and canberra waytogo 
read more",0.067,Positive
2706,"watch episode 2 of heroesofola series featuring the inspiring story of our driver paner mryashwant galande from pune
if you have encountered such heroes of ola during your rides share your stories with us using heroesofola",0.15,Positive
2707,"mumbaikars we have a perfect sta to your day win a chance to meettoday by simply telling us your olabucketlist 
get going people it doesnt get better than this 
contest mumbai",0.18,Positive
2708,"we loved to see all the wonderful things that you have in your olabucketlist 
youve won the chance to meetplease check your dm for details",0.27,Positive
2709,"more content more enjoyment now watch the awardwinning web series rise fromon your prime play rides 
nowplaying olaplay",0.14,Positive
2710,"we discovered new places we saw wonders in every mile traveled 
we relished great food we made many cherished memories
and now its time to celebrate2gether
staytuned",0.26,Positive
2711,"want to meet the stars of phamous 
watch the video till the end to find out phamouswithola
read more",0,Neutral
2712,"were minutes away from grand launch of a nationwide safety initiative stay tuned for more
streetsafe",0.1,Positive
2713,"we are proud to launch streetsafe a nationwide program to strengthen road and ride safety in india 
through this initiative we aim to build awareness towards the 3 key causes of road fatalities in india drinking amp driving texting amp driving and overspeeding",0,Neutral
2714,"were happy and proud to launch a nationwide initiative on road safety in panership withfrom the foot of the historic india gate monument 
streetsafe",0.2,Positive
2715,point noted anant were constantly improving our content library and wed really appreciate if you could share suggestions on specific content that youd like to see on ola play,0.21,Positive
2716,shri amulya patnaik cpdelhi launched ‘streetsafe’ campaign a nationwide road amp ride safety program at india gate new delhi today it is a joint initiative ofand,0,Neutral
2717,"we staed a journey 2 years ago the one that was meant to be
we drove we saw we explored 2gether we went places 2gether
and we hope this trip never ends 
its time to celebrate2getherness with olaoutstation",0.1,Positive
2718,"tag the two people youd like to celebrate2gether in an ola outstation trip and win
dont forget to like and share the post
contest rules",0.12,Positive
2719,"youve been selected as one of the winners for celebrate2getherness with olaoutstation
please check your dm for fuher details",0.3,Positive
